condition_id,event_start,ts_ms,event_end_ms,up_best_ask,up_best_bid,down_best_ask,down_best_bid,up_ask_sz_1,down_ask_sz_1
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681300392,1785681600000,,,,,,
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681300888,1785681600000,0.290000,0.280000,0.720000,0.710000,177.47,72
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681301389,1785681600000,0.290000,0.280000,0.720000,0.710000,159.02,57
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681301889,1785681600000,0.280000,0.270000,0.730000,0.720000,371.79,244.8
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681302390,1785681600000,0.280000,0.270000,0.730000,0.720000,287.07,45.08
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681302889,1785681600000,0.260000,0.250000,0.750000,0.740000,118.6,179.2
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681303390,1785681600000,0.280000,0.270000,0.730000,0.720000,321.38,50
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681303889,1785681600000,0.280000,0.270000,0.730000,0.720000,33.94,299.76
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681304389,1785681600000,0.290000,0.280000,0.720000,0.710000,43.36,96.85
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681304889,1785681600000,0.300000,0.290000,0.710000,0.700000,271.83,55
0x13b803f73923d2078be04fcb264f1db96f89bdef575badc818d3f35a1764df22,2026-08-02NDH24:35:00Z,1785681305388,1785681600000,0.300000,0.290000,0.710000,0.700000,270.76,43.85
