day,event_start,side,ask,win,pnl_hold,pnl_lead,pnl_lead_bid45,pnl_lead_bid40,pnl_bid35,pnl_bid45,pnl_shock,pnl_lead_or_bid35,pnl_zexit40,pnl_zexit30,pnl_lead_and_z,t_hold,t_lead,t_lead_bid45,t_lead_bid40,t_bid35,t_bid45,t_shock,t_lead_or_bid35,t_zexit40,t_zexit30,t_lead_and_z
2026-04-27,2026-04-27T04:10:00.000Z,-1,0.890,1,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,,,,,,,,,,,
2026-04-27,2026-04-27T04:20:00.000Z,1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,
2026-04-27,2026-04-27T04:40:00.000Z,-1,0.900,1,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,,,,,,,,,,,
2026-04-27,2026-04-27T05:30:00.000Z,1,0.810,1,2.1510,2.1510,2.1510,2.1510,-6.1294,-6.0086,-2.8077,-6.1294,2.1510,2.1510,2.1510,,,,,7.0,12.5,28.0,7.0,,,
2026-04-27,2026-04-27T05:40:00.000Z,1,0.880,1,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,,,,,,,,,,,
2026-04-27,2026-04-27T06:00:00.000Z,-1,0.900,1,0.9856,0.9856,0.9856,0.9856,-9.9666,-9.9666,-9.9666,-9.9666,0.9856,0.9856,0.9856,,,,,8.0,8.0,8.0,8.0,,,
2026-04-27,2026-04-27T06:05:00.000Z,1,0.720,1,3.6234,3.6234,3.6234,3.6234,-10.0667,-10.0667,-10.0667,-10.0667,3.6234,3.6234,3.6234,,,,,7.0,7.0,7.0,7.0,,,
2026-04-27,2026-04-27T06:20:00.000Z,1,0.790,0,-10.1470,-10.1470,-10.1470,-10.1470,-10.0292,-10.0292,-10.0292,-10.0292,-10.1470,-10.1470,-10.1470,,,,,8.0,8.0,8.0,8.0,,,
2026-04-27,2026-04-27T06:35:00.000Z,-1,0.690,1,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,-1.6178,4.2033,4.2033,4.2033,4.2033,,,,,,,14.5,,,,
2026-04-27,2026-04-27T06:40:00.000Z,1,0.620,1,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,,,,,,,,,,,
2026-04-27,2026-04-27T06:45:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,
2026-04-27,2026-04-27T06:50:00.000Z,1,0.670,1,4.6197,4.6197,4.6197,4.6197,-7.2700,-7.2700,-1.9796,-7.2700,4.6197,4.6197,4.6197,,,,,7.5,7.5,15.5,7.5,,,
2026-04-27,2026-04-27T06:55:00.000Z,1,0.830,0,-10.1190,-10.1190,-10.1190,-10.1190,-6.5645,-5.9760,-5.9760,-6.5645,-10.1190,-10.1190,-10.1190,,,,,12.0,12.5,12.5,12.0,,,
2026-04-27,2026-04-27T07:00:00.000Z,1,0.660,0,-10.2380,-2.7758,-3.9828,-8.2445,-8.2445,-3.9828,-3.9828,-2.7758,-0.9398,-9.3887,-0.9398,,23.0,9.5,6.5,6.5,25.5,25.5,23.0,17.0,5.0,17.0
2026-04-27,2026-04-27T07:10:00.000Z,1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,
2026-04-27,2026-04-27T07:15:00.000Z,-1,0.750,0,-10.1750,-6.8879,-6.8879,-6.8879,-5.8511,-5.0657,-5.0657,-5.8511,-6.8879,-6.3710,-6.8879,,26.5,26.5,26.5,28.5,29.0,29.0,28.5,26.5,25.0,26.5
2026-04-27,2026-04-27T07:20:00.000Z,1,0.840,1,1.7332,1.7332,1.7332,1.7332,1.7332,1.7332,-3.0483,1.7332,1.7332,1.7332,1.7332,,,,,,,17.0,,,,
2026-04-27,2026-04-27T07:25:00.000Z,-1,0.760,1,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,2.9241,,,,,,,,,,,
2026-04-27,2026-04-27T08:10:00.000Z,1,0.800,1,2.2975,2.2975,2.2975,2.2975,2.2975,2.2975,-3.3556,2.2975,2.2975,2.2975,2.2975,,,,,,,17.5,,,,
2026-04-27,2026-04-27T08:15:00.000Z,1,0.940,1,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,0.5431,,,,,,,,,,,
