day,event_start,side,ask,canonical_win,pnl_hold,pnl_lead_bid45_delay0,pnl_lead_bid45_delay0p5,pnl_lead_bid45_delay1,pnl_lead_bid45_delay2,pnl_lead_bid45_delay3,pnl_lead_bid45_delay5,pnl_lead_bid40_delay0,pnl_lead_bid40_delay0p5,pnl_lead_bid40_delay1,pnl_lead_bid40_delay2,pnl_lead_bid40_delay3,pnl_lead_bid40_delay5,signal_secs_lead_bid45_delay0,signal_secs_lead_bid45_delay0p5,signal_secs_lead_bid45_delay1,signal_secs_lead_bid45_delay2,signal_secs_lead_bid45_delay3,signal_secs_lead_bid45_delay5,signal_secs_lead_bid40_delay0,signal_secs_lead_bid40_delay0p5,signal_secs_lead_bid40_delay1,signal_secs_lead_bid40_delay2,signal_secs_lead_bid40_delay3,signal_secs_lead_bid40_delay5,exit_secs_lead_bid45_delay0,exit_secs_lead_bid45_delay0p5,exit_secs_lead_bid45_delay1,exit_secs_lead_bid45_delay2,exit_secs_lead_bid45_delay3,exit_secs_lead_bid45_delay5,exit_secs_lead_bid40_delay0,exit_secs_lead_bid40_delay0p5,exit_secs_lead_bid40_delay1,exit_secs_lead_bid40_delay2,exit_secs_lead_bid40_delay3,exit_secs_lead_bid40_delay5
2026-04-27,2026-04-27T04:10:00.000Z,-1,0.890,1,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,1.1028,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T04:20:00.000Z,1,0.920,1,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,0.7592,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T04:40:00.000Z,-1,0.900,1,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T05:30:00.000Z,1,0.810,1,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,2.1510,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T05:40:00.000Z,1,0.880,1,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,1.2228,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T06:00:00.000Z,-1,0.900,1,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,0.9856,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T06:05:00.000Z,1,0.720,1,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,3.6234,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T06:20:00.000Z,1,0.790,0,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,-10.1470,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,
2026-04-27,2026-04-27T06:35:00.000Z,-1,0.690,1,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,4.2033,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-27,2026-04-27T06:40:00.000Z,1,0.620,1,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,5.7824,,,,,,,,,,,,,,,,,,,,,,,,
